"champion","winrate","nb_game","kd_rate","nb_kill_mobs","gold","ligue","role"
"Soraka",49.38,56509,2.52,19.48,7671,"Bronze","Support"
"Vayne",49.37,118649,1.93,163.4,11974,"Bronze","Bot"
"Anivia",49.34,28805,2.33,146.86,11209,"Bronze","Mid"
"Malphite",49.28,66000,2.36,121.31,10292,"Bronze","Top"
"Leona",49.13,100881,2.3,34.54,8023,"Bronze","Support"
"Nautilus",49.04,82813,2.28,38.55,8131,"Bronze","Support"
"Kog'Maw",48.97,13525,2.07,166.15,12258,"Bronze","Bot"
"Akshan",48.91,55050,2,165.49,12426,"Bronze","Mid"
"Janna",48.86,37776,2.77,17.9,7877,"Bronze","Support"
"Senna",48.81,132242,2.5,58.49,10504,"Bronze","Support"
"Braum",48.76,22066,2.66,34.13,8003,"Bronze","Support"
"Viego",48.75,109301,2.1,154.95,11862,"Bronze","Jungle"
"Alistar",48.75,22586,2.35,37.17,7996,"Bronze","Support"
"Twitch",48.65,60696,2.28,151.01,12295,"Bronze","Bot"
"Galio",48.61,27728,2.33,94.1,9469,"Bronze","Support"
"Zeri",48.55,102223,2.2,177.43,12198,"Bronze","Bot"
"Hecarim",48.54,61302,2.58,156.45,11621,"Bronze","Jungle"
"Annie",48.53,29647,2.16,132.96,10859,"Bronze","Mid"
"Séraphine",48.48,52592,2.4,57.06,9222,"Bronze","Support"
"Udyr",48.4,15201,2.15,160.33,11279,"Bronze","Jungle"
"Tahm Kench",48.37,42988,2.37,118.48,10198,"Bronze","Top"
"Irelia",48.35,82339,1.73,196.61,12755,"Bronze","Top"
"Xin Zhao",48.35,74008,2.08,146.87,11305,"Bronze","Jungle"
"Draven",48.28,31638,2.06,166.45,12727,"Bronze","Bot"
"Tryndamere",48.21,84319,1.78,190.48,12658,"Bronze","Top"
"Quinn",48.21,19644,1.84,160.95,12043,"Bronze","Top"
"Jinx",48.13,204399,2.21,174.81,11780,"Bronze","Bot"
"Aurelion Sol",48.1,6164,2.14,139.51,10512,"Bronze","Mid"
"Akali",48.08,129072,2.21,136.47,11247,"Bronze","Mid"
"Kayn",48.06,131306,2.07,163.37,12135,"Bronze","Jungle"
"Wukong",48.01,22835,2.12,149.33,11408,"Bronze","Top"
"Ashe",48,77242,2.21,149.59,11179,"Bronze","Bot"
"Fiora",47.98,42471,1.72,163.64,11612,"Bronze","Top"
"Pyke",47.97,103373,2.06,42.29,11205,"Bronze","Support"
"Katarina",47.96,59161,2.1,141.5,11876,"Bronze","Mid"
"Kled",47.94,11586,2.2,145.37,11546,"Bronze","Top"
"Kai'Sa",47.82,102952,2.22,177.1,12282,"Bronze","Bot"
"Rakan",47.77,36222,2.57,34.76,7945,"Bronze","Support"
"Graves",47.64,43650,2.07,186.38,12294,"Bronze","Jungle"
"Lissandra",47.58,15919,2.16,151.44,10940,"Bronze","Mid"
"Karthus",47.58,12929,2.16,172.28,12713,"Bronze","Jungle"
"Xayah",47.57,35469,2.16,176.29,11977,"Bronze","Bot"
"Jax",47.51,79698,1.65,157.47,11704,"Bronze","Top"
"Jarvan IV",47.46,27389,2.83,142.96,11358,"Bronze","Jungle"
"Fiddlesticks",47.44,25485,2.27,148.74,11075,"Bronze","Jungle"
"Pantheon",47.35,44819,1.95,90.16,10420,"Bronze","Support"
"Samira",47.2,55587,1.99,168.37,12256,"Bronze","Bot"
"Varus",47.14,26789,2.17,162.1,11704,"Bronze","Bot"
"Poppy",47.06,29353,2.19,133.81,10506,"Bronze","Jungle"
"Kha'Zix",47.03,60105,2.14,148.91,11944,"Bronze","Jungle"
"Ezreal",46.94,135717,2.29,163.59,11996,"Bronze","Bot"
"Vladimir",46.89,24453,2.02,164.14,11293,"Bronze","Mid"
"Kassadin",46.89,22165,2.18,148.3,11516,"Bronze","Mid"
"Yuumi",46.87,78983,4.1,6.67,7807,"Bronze","Support"
"Corki",46.87,39842,1.98,179.64,12693,"Bronze","Mid"
"Vex",46.86,88073,2.12,125.97,10657,"Bronze","Mid"
"Lulu",46.72,50870,2.68,20.01,7901,"Bronze","Support"
"Taric",46.71,10558,2.41,40.3,7823,"Bronze","Support"
"Darius",46.64,79956,1.74,164.73,11553,"Bronze","Top"
"Bard",46.64,15561,2.54,27.01,8473,"Bronze","Support"
"Zed",46.4,77759,2.08,156.22,12033,"Bronze","Mid"
"Evelynn",46.39,30053,2.4,135.21,11601,"Bronze","Jungle"
"Caitlyn",46.2,165852,2.08,169.99,11730,"Bronze","Bot"
"Lucian",46.2,63318,2.13,179.07,12323,"Bronze","Bot"
"Gnar",46.18,23009,1.83,158.46,10986,"Bronze","Top"
"Kennen",46.16,16675,1.95,145.53,10722,"Bronze","Top"
"Orianna",46.14,22531,2.43,160.94,10919,"Bronze","Mid"
"Kalista",46.13,12053,2.04,173.43,12274,"Bronze","Bot"
"Elise",46.12,10476,2.06,127.71,10906,"Bronze","Jungle"
"Sylas",45.99,55033,1.9,125.86,10797,"Bronze","Mid"
"Rumble",45.94,9763,1.96,154.43,11204,"Bronze","Top"
"Aphelios",45.89,33876,1.92,170.57,11694,"Bronze","Bot"
"Syndra",45.83,27523,2.12,161.12,11236,"Bronze","Mid"
"Taliyah",45.81,7297,1.99,124.44,11047,"Bronze","Jungle"
"Karma",45.77,41588,2.37,43.86,8681,"Bronze","Support"
"Camille",45.65,24080,1.75,147.37,10904,"Bronze","Top"
"Jayce",45.59,29332,1.84,170.56,12126,"Bronze","Top"
"Talon",45.45,24876,1.92,154.86,11963,"Bronze","Mid"
"Kindred",45.36,30331,1.86,156.34,11880,"Bronze","Jungle"
"Gangplank",45.3,42524,1.86,188.22,13186,"Bronze","Top"
"Ivern",45.03,6349,2.46,109.78,9244,"Bronze","Jungle"
"Riven",44.83,27811,1.77,164.82,11399,"Bronze","Top"
"Gwen",44.61,55095,1.7,166.13,11368,"Bronze","Top"
"Thresh",44.46,64027,2.22,37.8,8002,"Bronze","Support"
"LeBlanc",44.44,30538,2.42,124.28,10524,"Bronze","Mid"
"Zoé",44.39,18803,2.15,124.94,10314,"Bronze","Mid"
