,saison,rank,champion,tot_win,tot_lose,avg_kills,avg_deaths,avg_assists,gold,nb_kill_mobs,max_kills,max_deaths,avg_dmg_dealt,avg_dmg_taken,dk,tk,qk,quintu
170,Saison 6,22,Varus,2V,3 D,5.2,5.8,5.8,"11,569",201.2(0.0),13,9,"141,138","17,006",2,1,1,
171,Saison 6,23,Janna,3V,1 D,0.3,2.8,11.,"7,891",9.8(0.0),1,5,"12,580","10,404",,,,
172,Saison 6,24,Lissandra,3V,0,7.0,5.3,9.0,"14,033",215.3(0.0),11,7,"166,719","20,301",1,,,
173,Saison 6,25,Pantheon,2V,1 D,8.7,12.,/9.,"15,878",176.7(0.0),10,14,"141,246","38,959",3,,,
174,Saison 6,26,Kennen,1V,2 D,3.0,3.3,7.0,"8,046",152.0(0.0),5,5,"63,127","13,944",,,,
175,Saison 6,27,Fizz,1V,2 D,7.0,5.0,3.0,"9,398",151.3(0.0),11,6,"74,026","13,790",3,,,
176,Saison 6,28,Karthus,1V,2 D,7.0,7.3,9.3,"14,679",204.0(0.0),12,11,"181,577","33,246",4,1,,
177,Saison 6,29,Draven,2V,0,11.,/10,5/1,"19,543",201.5(0.0),14,15,"208,721","35,373",3,,,
178,Saison 6,30,Sivir,1V,1 D,7.5,3.5,7.0,"10,748",176.0(0.0),11,4,"121,581","12,936",2,,,
179,Saison 6,31,Blitzcrank,0,2 D,2.5,6.0,5.5,"8,432",48.5(0.0),3,6,"28,166","18,557",,,,
180,Saison 6,32,Ekko,1V,0,7.0,4.0,3.0,"9,094",122.0(0.0),7,4,"76,406","16,267",,,,
181,Saison 6,33,Soraka,1V,0,0.0,3.0,12.,"8,726",5.0(0.0),0,3,"11,868","7,843",,,,
182,Saison 6,34,Ashe,1V,0,6.0,1.0,6.0,"11,030",177.0(0.0),6,1,"119,330","10,283",1,1,,
183,Saison 6,35,Nidalee,0,1 D,6.0,7.0,7.0,"7,612",20.0(0.0),6,7,"60,057","17,313",1,,,
184,Saison 6,36,Gragas,0,1 D,1.0,7.0,5.0,"7,301",111.0(0.0),1,7,"59,790","21,442",,,,
185,Saison 6,37,Lee Sin,0,1 D,4.0,6.0,11.,"12,061",205.0(0.0),4,6,"129,904","22,309",,,,
186,Saison 6,38,Diana,0,1 D,3.0,17.,/11,"16,576",243.0(0.0),3,17,"230,915","47,069",1,,,
187,Saison 6,39,Alistar,0,1 D,1.0,6.0,14.,"9,160",47.0(0.0),1,6,"28,531","36,183",,,,
188,Saison 6,40,Ryze,0,1 D,8.0,6.0,5.0,"15,356",268.0(0.0),8,6,"269,050","30,291",,,,
189,Saison 6,41,Morgana,0,1 D,1.0,5.0,5.0,"7,144",30.0(0.0),1,5,"20,509","13,847",,,,
190,Saison 6,42,Olaf,0,1 D,3.0,5.0,3.0,"7,641",133.0(0.0),3,5,"68,078","18,533",,,,
191,Saison 7,1,Ziggs,154V,96 D,7.1,4.4,7.1,"13,210",228.0(0.0),23,13,"189,079","15,663",,,,
192,Saison 7,2,Lux,71V,56 D,6.3,4.4,7.5,"12,268",209.2(0.0),15,10,"143,899","12,661",,,,
193,Saison 7,3,Ezreal,39V,49 D,7.4,5.1,7.0,"12,829",208.9(0.0),18,11,"144,261","17,854",,,,
194,Saison 7,4,Azir,41V,41 D,6.2,4.8,5.5,"11,924",205.2(0.0),17,14,"143,072","17,578",,,,
195,Saison 7,5,Twisted Fate,37V,24 D,7.0,4.6,7.5,"12,713",189.5(0.0),16,11,"136,919","18,503",,,,
196,Saison 7,6,Viktor,22V,23 D,7.0,4.5,6.0,"12,114",199.7(0.0),14,9,"142,086","15,024",,,,
197,Saison 7,7,Caitlyn,16V,20 D,4.3,4.9,5.4,"10,677",192.4(0.0),13,13,"130,505","15,123",,,,
198,Saison 7,8,Yasuo,17V,17 D,6.4,6.4,5.4,"11,732",198.6(0.0),16,12,"136,426","20,435",,,,
199,Saison 7,9,Vladimir,21V,12 D,7.7,4.8,5.8,"12,140",193.6(0.0),21,10,"134,882","28,193",,,,
200,Saison 7,10,Ekko,13V,12 D,10.,/5.,/6.,"13,361",201.9(0.0),27,12,"154,649","26,426",,,,
